Inferior (PCI)";Densidade ;Referência;Fatores de Emissão;;Fatores de Emissão (unidades originais) - IPCC (2006);;;;;;;;;Fatores de Emissão (unidades convertidas);;;;;;;;;;Combustível;;;;Definição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;CO2 (kg/TJ);Fonte;CH4 (kg/TJ) por setor de atividade;;;;N2O (kg/TJ) por setor de atividade;;;;;CO2 (kg/un.);CH4 (kg/un.) por setor de atividade;;;;N2O (kg/un.) por setor de atividade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;(GJ/t);(kg/unidade);;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Acetileno;-;kg;-;-;Programa Brasileiro GHG Protocol;;-;-;-;-;-;-;-;-;-;;3;-;-;-;-;-;-;-;-;;Acetileno;;;;O acetileno é um hidrocarboneto, cuja fórmula molecular é C₂H₂. Trata-se de uma gás incolor bastante utilizado em processos de solda ou corte de metais por maçarico. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISPQ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Coque de Petróleo;Petroleum Coke;m³;35,1;1.04;BEN 2023;97.533;MCTIC 2016;3;3;10;10;0,6;0,6;0,6;0,6;;3.563;0,10960;0,10960;0,36532;0,36532;0,021919;0,021919;0,021919;0,021919;;Coque de Petróleo;;;;Produto sólido, negro e brilhante, resultante do processo de craqueamento de resíduos pesados (coqueamento), essencialmente constituído de carbono (90 a 95%) e que queima sem deixar cinzas. Utilizado na fabricação de coque calcinado, pela indústria do alumínio e na fabricação de eletrodos, na produção de coque siderúrgico, em mistura com carvão mineral, na fabricação de carboneto de cálcio e carboneto de silício, em metalurgia, como redutor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Etano;Ethane;Toneladas;46,4;1;IPCC 2006;61.6;IPCC 2006;1;1;5;5;0,1;0,1;0,1;0,1;;2.858;0,04640;0,04640;0,23200;0,23200;0,004640;0,004640;0,004640;0,004640;;Etano;;;;Componente presente no gás de refinaria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Gás de Coqueria;Coke Oven Gas;Toneladas;38,7;1;IPCC 2006;44.367;IPCC 2006;1;1;5;5;0,1;0,1;0,1;0,1;;1.717;0,03870;0,03870;0,19350;0,19350;0,003870;0,003870;0,003870;0,003870;;Gás de Coqueria;;;;Foram adotados os poderes caloríficos utilizados pela Companhia Estadual de Gás do Rio de Janeiro - CEG e pela Companhia Estadual de Gás de São Paulo - COMGAS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Gás de Refinaria;Refinery Gas;Toneladas;49,5;1;IPCC 2006;57.567;IPCC 2006;1;1;5;5;0,1;0,1;0,1;0,1;;2.85;0,04950;0,04950;0,24750;0,24750;0,004950;0,004950;0,004950;0,004950;;Gás de Refinaria;;;;"Mistura contendo, principalmente, hidrocarbonetos gasosos (além de, em muitos casos, alguns compostos sulfurosos) e produzida nas unidades de processo
de refino do petróleo. Os componentes mais comuns são hidrogênio, metano, etano, propano, butanos, pentanos, etileno, propileno, butenos, pentenos e pequenas quantidades de outros componentes, tais como o butadieno. É utilizado principalmente como fonte de energia na própria refinaria.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Gás Liquefeito de Petróleo (GLP);Liquefied Petroleum Gases;Toneladas;46,5;1;BEN 2023;63.067;MCTIC 2016;1;1;5;5;0,1;0,1;0,1;0,1;;2.931;0,04647;0,04647;0,23237;0,23237;0,004647;0,004647;0,004647;0,004647;;Gás Liquefeito de Petróleo (GLP);;;;Mistura de hidrocarbonetos com alta pressão de vapor obtida do gás natural em unidades de processo especiais, que é mantida na fase líquida, em condições especiais de armazenamento na superfície.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Gás Natural Seco;Natural Gas;m³;49,8; 0,74 ;BEN 2023;56.1;MCTIC 2016;1;1;5;5;0,1;0,1;0,1;0,1;; 2,1 ;0,00004;0,00004;0,00018;0,00018;0,000004;0,000004;0,000004;0,000004;;Gás Natural Seco;;;;Extraído diretamente de reservatórios petrolíferos ou gasíferos. Todo hidrocarboneto que permaneça inteiramente na fase gasosa em quaisquer condições de reservatório ou de superfície.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Gás Natural Úmido;Natural Gas;m³;56,2; 0,74 ;BEN 2023;56.1;MCTIC 2016;1;1;5;5;0,1;0,1;0,1;0,1;; 2,3 ;0,00004;0,00004;0,00021;0,00021;0,000004;0,000004;0,000004;0,000004;;Gás Natural Úmido;;;;"Extraído diretamente de reservatórios petrolíferos ou gasíferos. Todo hidrocarboneto que, embora originalmente na fase gasosa, venha a apresentar a
formação de líquidos em diferentes condições de reservatório ou de superfície.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Gasolina Automotiva (pura);Motor Gasoline;Litros;43,5; 0,74 ;BEN 2023;69.3;MCTIC 2016;3;3;10;10;0,6;0,6;0,6;0,6;; 2,2 ;0,00010;0,00010;0,00032;0,00032;0,000019;0,000019;0,000019;0,000019;;Gasolina Automotiva (pura);;;;Compreende a(s) gasolina(s) especificada(s) pela ANP, exceto a gasolina de aviação e a gasolina para uso em competição automotiva.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Gasolina de Aviação;Aviation Gasoline;Litros;44,4; 0,73 ;BEN 2023;70.033;MCTIC 2016;3;3;10;10;0,6;0,6;0,6;0,6;; 2,3 ;0,00010;0,00010;0,00032;0,00032;0,000019;0,000019;0,000019;0,000019;;Gasolina de Aviação;;;;Derivada de petróleo e utilizada como combustível em aeronaves com motores de ignição por centelha.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Líquidos de Gás Natural (LGN);Natural Gas Liquids;Toneladas;44,2;1;IPCC 2006;64.167;IPCC 2006;3;3;10;10;0,6;0,6;0,6;0,6;;2.836;0,13260;0,13260;0,44200;0,44200;0,026520;0,026520;0,026520;0,026520;;Líquidos de Gás Natural (LGN);;;;Parte do gás natural que se encontra na fase líquida em determinada condição de pressão e temperatura na superfície, obtida nos processos de separação de campo, em UPGNs ou operações de transferência em gasodutos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
